"Arcade Card Duo / アーケードカードDUO","arcade-card-duo","JP","Hu",1994,"NEC Home Electronics / NECホームエレクトロニクス"
"Bikkuri World / ビックリマンワールド","bikkuri-world","JP","Hu",1987,"Hudson / ハドソン"
"Body Conquest II / ボディコンクエストⅡ","body-conquest-ii","JP","Hu",,"Hacker International"
"Bomberman '93 Special Version / ボンバーマン'93 スペシャルバージョン","bomberman-'93-special-version","JP","Hu",1992,"Hudson / ハドソン"
"Bomberman '94 / ボンバーマン'94","bomberman-'94","JP","Hu",1993,"Hudson / ハドソン"
"Bubblegum Crash! Knight Sabers 2034 / バブルガムクラッシュ！","bubblegum-crash!-knight-sabers-2034","JP","Hu",1991,"naxat / ナグザット"
"Burning Angels / バーニングエンジェル","burning-angels","JP","Hu",1990,"naxat / ナグザット"
"Cadash / カダッシュ","cadash","JP","Hu",1991,"Taito / タイトー"
"City Hunter / シティーハンター","city-hunter","JP","Hu",1990,"Sunsoft (Sun Electronics) / サンソフト（サン電子）"
"Daisenpu / 大旋風","daisenpu","JP","Hu",1990,"NEC Avenue/Toaplan / NECアベニュー/東亜プラン"
"Don Doko Don / ドンドコドン","don-doko-don","JP","Hu",1990,"Taito / タイトー"
"Doraemon Meikyuu Daisakusen / ドラえもん 迷宮大作戦","doraemon-meikyuu-daisakusen","JP","Hu",1989,"Hudson / ハドソン"
"Energy / エナジー","energy","JP","Hu",1989,"Masaya (NCS)/Luasan Soft / メサイヤ（日本コンピューターシステム）"
"F-1 Pilot - You're King of Kings / F1パイロット","f-1-pilot-you're-king-of-kings","JP","Hu",1989,"Pack-In-Video / パック・イン・ビデオ"
"F1 Circus / F1サーカス","f1-circus","JP","Hu",1990,"Nihon Bussan (Nichibutsu) / 日本物産（ニチブツ）"
"F1 Circus '91 World Championship / エフワンサーカス'91 ワールド・チャンピオンシップ","f1-circus-'91-world-championship","JP","Hu",1991,"Nihon Bussan (Nichibutsu) / 日本物産（ニチブツ）"
"Final Match Tennis / ファイナルマッチテニス","final-match-tennis","JP","Hu",1991,"Human / ヒューマン"
"Fire Pro Wrestling 2nd Bout / ファイヤープロレスリング 2nd BOUT","fire-pro-wrestling-2nd-bout","JP","Hu",1991,"Human / ヒューマン"
"Fire Pro Wrestling 3 / ファイヤープロレスリング3 Legend BOUT","fire-pro-wrestling-3","JP","Hu",1992,"Human / ヒューマン"
"Gaia No Monshou / ガイアの紋章","gaia-no-monshou","JP","Hu",1988,"Masaya (NCS) / メサイヤ（日本コンピューターシステム）"
